SKU,Description,Status,Fullfills through date,Additional Stock arrival date
JRM001,Botanical Rose 5x7,Out,n/a,11/9/15
JRM008,Mint Floral 5x7,Low,11/5/15,11/9/15
LCM001,Thankful Forest Place Cards,Low,10/15/15,n/a
NPD005,Honeydew Desk Pad,Low,10/28/15,11/1/15
OCX002,Nutcracker Ornament Card,Out,n/a,n/a
SLX001,Holiday Sticker and Label Sheet,Low,10/20/15,10/20/15
PIC033-6I,Birch Floral 6,Out,n/a,10/23/15
PIC035-6I,Folk Floral 6,Out,n/a,10/23/15
FNA001,Global Greetings Social Stationery,Low,11/20/15,11/20/15
